p_t	p_c	g_t	g_c	coincidenze	tempo_misura_min thr_p thr_g
655	505	800	1705	371	1 40 19.3
670	865	800	1775	664	1 40 19.3
700	1594	800	1687	1151	1 40 19.3
715	1862	815	1930	1387	1 40 19.3
720	1860	820	1924	1342	1 40 19.3
720	1918	815	1935	1375	1 40 19.3
725	1955	815	1917	1376	1 40 19.3
725	1887	815	1817	1345	1 43 22
725	1782	815	1715	1270	1 47 22
725 1754 815 1759	1270	1 47 22
725	1689	815	1758	1268	1 50 22
725	1608	815	1765	1227	1 55 22
728	1666	815	1831	1255	1 55 22
728	1677	805	1635	1214	1 55 22
730	1608	815	1792	1275	1 55 22
735	1757	815	1803	1323	1 55 22
735	1663	815	1698	1202	1 55 22
735	1709	815	1742	1256	1 55 22
725	1320	815	1731	1006 1 60 22
728 1525 875 2635 1190 1 55 22
728 4126 875 8163 3276 3 62 22
728 3304 875 8129 2573 3 69 22
728 2561 875 8133 2008 3 76 22
728 1897 875 7955 1467 3 83 22
728 1473 875 8095 1128 3 90 22
728 1268 875 8187 0965 3 97 22
728 1230 875 5564 0918 3 97 35
728 1508 875 5544 1146 3 90 35
728 1942 875 5599 1451 3 83 35
728 2652 875 5672 2035 3 76 35
728 3242 875 5596 2476 3 69 35
728 3956 875 5400 3003 3 62 35
728 4840 875 5645 3751 3 55 35
728 4779 875 4817 3462 3 55 45
728 3998 875 4822 2952 3 62 45
728 3282 875 4831 2415 3 69 45
728 2460 875 4791 1789 3 76 45
728 1944 875 4826 1388 3 83 45
728 1514 875 4968 1087 3 90 45
728 1222 875 4901 886 3 97 45
728 972 875 4850 688 3 104 45
728 734 875 4776 517 3 111 45
728 628 875 4916 438 3 118 45
728 0 875 0 0 3 125 45
