ordine[TtB],p_distanza[cm],g_distanza[cm],m_distanza[cm], p_count, pm_doppie, gm_doppie, pg_doppie, pgm_triple,tempo[min]
mpg,0,0,0,9321,7198,5882,,5784,5
mpg,15,0,0,9478,6597,5907,,4995,5
mpg,30,0,0,9288,5363,5877,,3743,5
mpg,45,0,0,9194,4068,5908,,2503,5
mpg,60,0,0,9472,2761,6146,,1468,5
mpg,75,0,0,9597,1402,5896,,362,5
mgp,0,0,0,9405,5926,7188,,5787,5
mgp,0,15,0,9300,5992,6504,,4996,5
mgp,0,30,0,9370,6024,5371,,3755,5
mgp,0,45,0,9127,5954,4039,,2540,5
mgp,0,60,0,9440,6074,2632,,1418,5
mgp,0,75,0,9554,6082,1231,,323,5
gmp,0,0,0,9179,0,6029,4189,4104,
gmp,0,0,15,8800,0,5752,4294,3871,
gmp,0,0,30,9197,0,4074,4093,2668,
gmp,0,0,45,8212,0,2707,3839,1546,
gmp,0,0,60,8285,0,1527,3773,710,
gmp,0,0,75,8108,0,550,3961,118,
