p_tensione[V],g_tensione[V],p_threshold[mV],g_threshold[mV],p_count,g_count,pg_doppie,gm_doppie,pgm_triple,m_tensione[V],m_threshold[mV]
780,950,141,120,1420,1548.0,683.0,,,,
780,950,253,153,128,815.0,51.0,,,,
780,950,200,183,418,466.0,131.0,,,,
780,950,151,209,1117,269.0,133.0,,,,
780,950,234,192,218,372.0,65.0,,,,
780,950,212,201,378,334.0,106.0,,,,
780,950,238,224,192,197.0,37.0,,,,
780,950,187,171,563,518.0,176.0,,,,
800,950,237,167,373,557.0,126.0,,,,
800,980,187,173,1088,1115.0,466.0,,,,
800,980,212,190,635,820.0,236.0,,,,
800,980,230,205,415,586.0,144.0,,,,
800,980,249,248,304,300.0,80.0,,,,
800,980,253,254,264,293.0,81.0,,,,
800,950,175,206,1298,270.0,160.0,,,,
780,950,230,180,231,480.0,79.0,,,,
780,950,173,254,727,108.0,52.0,,,,
780,950,222,242,240,151.0,30.0,,,,
780,950,211,176,302,526.0,122.0,75.0,64.0,,
780,950,125,217,2058,,136.0,72.0,63.0,,
780,950,116,217,2532,,129.0,86.0,74.0,,
780,950,106,217,3314,,130.0,68.0,62.0,,
780,950,96,217,4252,,143.0,68.0,66.0,,
780,950,85,217,4889,,160.0,82.0,80.0,,
780,950,76,217,5300,,174.0,88.0,85.0,,
780,950,66,217,5642,,137.0,74.0,73.0,,
780,950,54,217,6422,,163.0,92.0,93.0,,
780,950,48,217,6932,,182.0,83.0,82.0,,
780,950,60,217,6004,,410.0,199.0,195.0,,
980,950,150,215,16592,,188.0,82.0,81.0,,
880,950,224,215,4087,,155.0,73.0,73.0,,
880,950,205,215,4720,,162.0,80.0,75.0,,
880,1050,194,215,5059,2496.0,,1023.0,1012.0,1150.0,254.0
880,1050,175,187,5263,3488.0,,1388.0,1376.0,1150.0,254.0
880,1050,166,174,5557,4207.0,,1658.0,1649.0,1150.0,254.0
880,1050,158,163,5559,4528.0,,1667.0,1652.0,1150.0,254.0
880,1050,148,148,5784,4847.0,,2671.0,2662.0,1150.0,189.0
880,1050,138,136,5893,5155.0,,2676.0,2660.0,1150.0,191.0
880,1050,121,123,6389,5543.0,,3420.0,3395.0,1150.0,76.0
880,1050,108,114,7130,5593.0,,3450.0,3428.0,1150.0,50.0
880,1050,98,104,7936,6001.0,,3558.0,3562.0,1150.0,40.0
880,1050,89,94,9751,6359.0,,3636.0,3598.0,1150.0,40.0
880,1050,79,81,13408,7102.0,,3590.0,2493.0,1150.0,35.0
880,1050,239,68,1411,9762.0,,3752.0,623.0,1150.0,26.0
880,1050,253,49,1635,19373.0,,3835.0,1086.0,1150.0,26.0
880,1050,253,205,1213,3033.0,,1972.0,1357.0,1150.0,26.0
880,1050,223,247,2270,1714.0,,1047.0,1003.0,1150.0,26.0
880,1050,42,254,57268,1570.0,,968.0,957.0,1150.0,26.0
880,1050,178,166,,,4303,3024,2978,1200,40
880,1050,178,166,,,,,,1200,40
880,1050,178,166,,,,,,1200,40
880,1050,178,166,,,,,,1200,40
880,1050,178,166,,,,,,1200,40
