p_t g_t p_thr g_thr p_c g_c coinc
780 950 141 120 1420 1548 683
780 950 253 153 128 815 51
780 950 200 183 418 466 131
780 950 151 209 1117 269 133
780 950 234 192 218 372 65
780 950 212 201 378 334 106
780 950 238 224 192 197 37
780 950 187 171 563 518 176
800 950 237 167 373 557 126
800 980 187 173 1088 1115 466
800 980 212 190 635 820 236
800 980 230 205 415 586 144
800 980 249 248 304 300 80
800 980 253 254 264 293 81
800 950 175 206 1298 270 160
780 950 230 180 231 480 79
780 950 173 254 727 108 52
780 950 222 242 240 151 30
780 950 211 176 302 526 122
