p_tensione,g_tensione,m_tensione,p_thr,g_thr,m_thr,p_singola,m_singola,pg_doppia,pmg_tripla,mg_doppia
850,1050,1200,178,166,24,5246,,3734,2102,3165
850,1050,1200,178,166,30,5225,,3630,1998,2955
850,1050,1200,178,166,35,5306,,3655,2042,3025
850,1050,1200,178,166,40,5269,,3620,2050,2981
850,1050,1200,178,166,50,5318,,3683,2059,3039
850,1050,1200,178,166,60,5281 ,,3577,1905,2865
850,1050,1200,178,166,70,5222,,3570,1901,2878
850,1050,1200,178,166,102,5342,,3572,1863,2731
850,1050,1200,178,166,162,5369,,3587,1951,2904
850,1050,1240,178,166,24,5296,,3704,2040,3136
850,1050,1240,178,166,30,,4364,3755,2057,3041
850,1050,1240,178,166,50,,4348,3637,1996,2932
850,1050,1240,178,166,60,,4498,3597,2040,3001
850,1050,1240,178,166,103,,4415,3574,1924,2830
850,1050,1240,178,166,167,,4469,3536,1892,2829
850,1050,1240,178,166,71,,4421,3658,1968,2911
850,1050,1240,178,166,83,,4356,3571,1924,2861
