"z[cm] "," y[cm] "," x dal Nord[cm] pm 0.1",I[A] pm 0.1,Bmax[g] pm 0.1," err"
0," 20",60,1,3.7,0.1
,,40,1,3.8,0.2
,,20,1,3.8,0.2
,,20,1.5,5.2,0.4
,,40,1.5,5.3,0.2
,,60,1.5,5.3,0.2
,,60,2,7,0.2
,,40,2,7,0.2
,,20,2,6.9,0.2
,,20,2.5,8.4,0.4
,,40,2.5,8.5,0.1
,,60,2.5,8.6,0.3
,,60,3,10.3,0.2
,,40,3,10.3,0.3
,,20,3,10.1,0.2
,,20,3.5,11.6,0.3
,,40,3.5,11.8,0.3
,,60,3.5,11.9,0.2
,,60,4,13.6,0.3
,,40,4,13.4,0.3
,,20,4,13.2,0.2
,,20,4.5,14.6,0.2
,,40,4.5,14.9,0.2
,,60,4.5,15.1,0.3
,,60,5,16.7,0.2
,,40,5,16.6,0.2
,,20,5,16.3,0.3
,,20,5.5,17.8,0.2
,,40,5.5,18.2,0.2
,,60,5.5,18.4,0.4
,,60,6,19.7,0.2
,,40,6,19.4,0.2
,,20,6,19.1,0.2
,,20,6.5,20.7,0.2
,,40,6.5,20.8,0.2
,,60,6.5,21.2,0.2
,,60,7,22.8,0.2
,,40,7,22.6,0.2
,,20,7,22.2,0.2
,,20,7.5,23.9,0.2
,,40,7.5,24.4,0.2
,,60,7.5,24.7,0.2
,,60,8,26.1,0.2
,,40,8,25.7,0.2
,,20,8,25.2,0.2
,,20,8.5,26.8,0.3
,,40,8.5,27.4,0.2
,,60,8.5,27.8,0.2
,,60,9,29.4,0.2
,,40,9,28.9,0.2
,,20,9,28.3,0.2
,,20,9.5,29.8,0.2
,,40,9.5,30.5,0.2
,,60,9.5,30.9,0.2
,,60,10,32.3,0.2
,,40,10,32.0,0.3
,,20,10,31.2,0.2
,,20,10.5,32.9,0.2
,,40,10.5,33.6,0.2
,,60,10.5,34.0,0.2
,,60,11,35.5,0.2
,,40,11,35.2,0.2
,,20,11,34.4,0.2
,,20,11.5,35.8,0.2
,,40,11.5,36.6,0.2
,,60,11.5,37.1,0.2
,,60,12,38.7,0.2
,,40,12,38.1,0.2
,,20,12,37.3,0.2
,,20,12.5,38.9,0.2
,,40,12.5,39.9,0.2
,,60,12.5,40.4,0.2
,,60,13,41.9,0.2
,,40,13,41.2,0.2
,,20,13,40.6,0.2
,,20,13.5,42.1,0.2
,,40,13.5,42.9,0.2
,,60,13.5,43.5,0.2
,,60,14,44.9,0.2
,,40,14,44.2,0.2
,,20,14,43.5,0.2
