configuration,Tx,Ty,Tz,Mx,My,Mz,Bx,By,Bz,doppie,triple,flag
m p g,0,0,8.4,0,0,12.8,0,0,0,217727,178196,296075
m p g,15,0,8.4,0,0,12.8,0,0,0,183291,149793,315166
m p g,30,0,8.4,0,0,12.8,0,0,0,141837,113797,321638
m p g,45,0,8.4,0,0,12.8,0,0,0,99461,77503,323261
m p g,60,0,8.4,0,0,12.8,0,0,0,57270,41106,324852
m p g,75,0,8.4,0,0,12.8,0,0,0,16780,6871,323276
p m g,0,0,12.8,0,0,23,0,0,0,192146,132514,349229
p m g,15,0,12.8,0,0,23,0,0,0,167162,115196,366144
p m g,30,0,12.8,0,0,23,0,0,0,130129,87177,368643
p m g,45,0,12.8,0,0,23,0,0,0,91771,58395,366503
p m g,60,0,12.8,0,0,23,0,0,0,53845,29260,365420
p m g,75,0,12.8,0,0,23,0,0,0,17595,3597,363997
p m g,0,0,12.8,0,0,25.3,0,0,0,180061,124349,360722
p m g,15,0,12.8,0,0,25.3,0,0,0,157875,107790,374964
p m g,30,0,12.8,0,0,25.3,0,0,0,123256,81562,376444
p m g,45,0,12.8,0,0,25.3,0,0,0,87522,54532,375602
p m g,60,0,12.8,0,0,25.3,0,0,0,51211,26850,373460
p m g,75,0,12.8,0,0,25.3,0,0,0,17734,3082,371580
