configuration,Tx,Ty,Tz,Mx,My,Mz,Bx,By,Bz,doppie,triple,flag
m g p,0,0,12.8,0,0,8.4,0,0,0,100000,100000,174290
m g p,0,0,12.8,15,0,8.4,0,0,0,100000,85405,187138
m g p,0,0,12.8,30,0,8.4,0,0,0,100000,65222,191342
m g p,0,0,12.8,45,0,8.4,0,0,0,100000,44213,192476
m g p,0,0,12.8,60,0,8.4,0,0,0,100000,23412,192876
m g p,0,0,12.8,75,0,8.4,0,0,0,100000,3953,193344
g m p,0,0,23,0,0,12.8,0,0,0,100000,100000,284765
g m p,0,0,23,15,0,12.8,0,0,0,100000,86362,295405
g m p,0,0,23,30,0,12.8,0,0,0,100000,65054,297950
g m p,0,0,23,45,0,12.8,0,0,0,100000,43219,296229
g m p,0,0,23,60,0,12.8,0,0,0,100000,21195,297001
g m p,0,0,23,75,0,12.8,0,0,0,100000,2297,294756
g m p,0,0,25.3,0,0,12.8,0,0,0,100000,100000,317054
g m p,0,0,25.3,15,0,12.8,0,0,0,100000,86835,327759
g m p,0,0,25.3,30,0,12.8,0,0,0,100000,65046,330259
g m p,0,0,25.3,45,0,12.8,0,0,0,100000,42844,327987
g m p,0,0,25.3,60,0,12.8,0,0,0,100000,20590,326376
g m p,0,0,25.3,75,0,12.8,0,0,0,100000,2226,324932
