configuration,Tx,Ty,Tz,Mx,My,Mz,Bx,By,Bz,doppie,triple,flag
m g p,0,0,12.8,0,0,8.4,0,0,0,100000,100000,173222
m g p,0,0,12.8,15,0,8.4,0,0,0,100000,85316,186709
m g p,0,0,12.8,30,0,8.4,0,0,0,100000,65227,191604
m g p,0,0,12.8,45,0,8.4,0,0,0,100000,44033,192117
m g p,0,0,12.8,60,0,8.4,0,0,0,100000,23307,192875
m g p,0,0,12.8,70,0,8.4,0,0,0,100000,9864,193203
g m p,0,0,23,0,0,12.8,0,0,0,100000,100000,285212
g m p,0,0,23,15,0,12.8,0,0,0,100000,86461,295469
g m p,0,0,23,30,0,12.8,0,0,0,100000,64931,298882
g m p,0,0,23,45,0,12.8,0,0,0,100000,42951,297206
g m p,0,0,23,60,0,12.8,0,0,0,100000,21294,297219
g m p,0,0,23,70,0,12.8,0,0,0,100000,7715,295560
g m p,0,0,25.3,0,0,12.8,0,0,0,100000,100000,316637
g m p,0,0,25.3,15,0,12.8,0,0,0,100000,86682,325453
g m p,0,0,25.3,30,0,12.8,0,0,0,100000,65569,328152
g m p,0,0,25.3,45,0,12.8,0,0,0,100000,43175,327434
g m p,0,0,25.3,60,0,12.8,0,0,0,100000,20965,327639
g m p,0,0,25.3,70,0,12.8,0,0,0,100000,7287,325940
