doppie,triple,flag
1548654,692697,7467668
1546714,692140,7466611
1547225,691829,7468701
1544584,690911,7467064
1548945,693423,7469221
1549885,693901,7467365
1549935,694396,7469172
1548243,693882,7466608
1550057,693668,7470141
1549453,693971,7466807
1549481,693549,7466304
1549130,693096,7470514
1551090,694269,7468030
1548803,693176,7468611
1547661,692972,7467219
1547736,693835,7469324
1548098,693242,7467437
1547787,692792,7466431
1548839,693952,7468348
1547045,692952,7467448
1549545,693832,7464900
1550640,694624,7470461
1546146,692288,7467049
1548728,693494,7468717
1548789,693976,7469128
1549418,694573,7467029
1547340,692149,7468428
1548956,693483,7467821
1548125,692831,7468583
1548141,693380,7467815
1547605,693530,7469176
1548612,693502,7468704
1547931,692671,7468713
1547099,691093,7470915
1547700,691886,7466811
1548762,693574,7469668
1547487,692939,7466203
1549628,694567,7466636
1547434,693381,7467573
1549125,693768,7466934
1548401,693238,7468208
1547872,692541,7471188
1548751,693628,7467629
1547187,692724,7468129
1546242,692119,7466648
1550497,694513,7470522
1548182,692777,7466093
1547969,692393,7469018
1547516,693495,7467081
1548591,693827,7467385
1548444,692138,7466972
1547277,692097,7468929
1547613,692472,7468714
1549778,693978,7469072
1545817,691470,7467208
1547511,693227,7468448
1549190,693679,7466160
1547378,691833,7469972
1549728,693147,7466580
1545882,691758,7466154
1547735,693364,7469802
1547328,693173,7467671
1549702,694392,7468154
1547953,693395,7470346
1544881,692496,7470100
1549786,695087,7469485
1546988,692406,7469477
1549182,695253,7470507
1548028,693538,7466222
1546133,692605,7468522
1546739,693531,7466038
1547727,693909,7466630
1548000,693942,7466951
1547522,692727,7465650
1549109,694300,7468779
1549000,693708,7469736
1548706,693646,7466578
1547721,693262,7467551
1548345,692975,7467394
1548225,694007,7467069
1547767,693077,7466717
1547258,692777,7470264
1549522,693634,7470222
1549895,694584,7466328
1546964,692477,7466231
1547547,693726,7469387
1546965,692321,7467430
1547877,694645,7465962
1548292,692613,7468249
1549757,693436,7471103
1548934,693030,7467972
1549649,693957,7469953
1548697,693967,7469261
1549295,694468,7469111
1547838,693008,7469741
1547964,692082,7470678
1548284,692886,7466399
1546904,692766,7465634
1547433,693148,7467874
1547934,692828,7470555
