configuration,coordinates[TtB][x,y,z],doppie,triple,flag
m p/g g/p,[[0, 0, 12.8], [0, 0, 8.4], [0, 0, 0]],13080920,8597320,21163458
m p/g g/p,[[0, 0, 12.8], [15, 0, 8.4], [0, 0, 0]],11467386,7467560,22197671
m p/g g/p,[[0, 0, 12.8], [30, 0, 8.4], [0, 0, 0]],9048088,5652553,23021373
m p/g g/p,[[0, 0, 12.8], [45, 0, 8.4], [0, 0, 0]],6457758,3711212,23511410
m p/g g/p,[[0, 0, 12.8], [60, 0, 8.4], [0, 0, 0]],3882938,1792861,23803418
m p/g g/p,[[0, 0, 12.8], [75, 0, 8.4], [0, 0, 0]],1499368,239754,23995027
p m g,[[0, 0, 23], [0, 0, 12.8], [0, 0, 0]],11115353,5287354,33539148
p m g,[[0, 0, 23], [15, 0, 12.8], [0, 0, 0]],10135046,4750232,34075790
p m g,[[0, 0, 23], [30, 0, 12.8], [0, 0, 0]],8248975,3637245,34132623
p m g,[[0, 0, 23], [45, 0, 12.8], [0, 0, 0]],6133438,2332391,33905932
p m g,[[0, 0, 23], [60, 0, 12.8], [0, 0, 0]],3984765,1040161,33559911
p m g,[[0, 0, 23], [75, 0, 12.8], [0, 0, 0]],2040446,92743,33041003
p m g,[[0, 0, 25.3], [0, 0, 12.8], [0, 0, 0]],9655085,4730970,37825391
p m g,[[0, 0, 25.3], [15, 0, 12.8], [0, 0, 0]],8890125,4259105,38199446
p m g,[[0, 0, 25.3], [30, 0, 12.8], [0, 0, 0]],7331034,3267417,38053611
p m g,[[0, 0, 25.3], [45, 0, 12.8], [0, 0, 0]],5521359,2072282,37637009
p m g,[[0, 0, 25.3], [60, 0, 12.8], [0, 0, 0]],3686916,902817,37102127
p m g,[[0, 0, 25.3], [75, 0, 12.8], [0, 0, 0]],2052826,76330,36387570
