EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
0,SINGLE,0,1,0,False,-1
1,DOUBLE,1,1,0,False,-1
2,NONE,0,0,0,False,-1
3,NONE,0,0,0,False,-1
4,NONE,0,0,0,False,-1
5,NONE,0,0,0,False,-1
6,NONE,0,0,0,False,-1
7,SINGLE,0,0,1,False,-1
8,SINGLE,0,0,1,False,-1
9,NONE,0,0,0,False,-1
10,SINGLE,0,1,0,False,-1
11,DOUBLE,1,1,0,False,-1
12,SINGLE,0,0,1,False,-1
13,NONE,0,0,0,False,-1
14,NONE,0,0,0,False,-1
15,SINGLE,0,1,0,False,-1
16,DOUBLE,1,1,0,False,-1
17,NONE,0,0,0,False,-1
18,NONE,0,0,0,False,-1
19,SINGLE,1,0,0,False,-1
20,SINGLE,0,0,1,False,-1
21,SINGLE,1,0,0,False,-1
22,NONE,0,0,0,False,-1
23,NONE,0,0,0,False,-1
24,DOUBLE,1,1,0,False,-1
25,DOUBLE,1,1,0,False,-1
26,NONE,0,0,0,False,-1
27,DOUBLE,1,1,0,False,-1
28,NONE,0,0,0,False,-1
29,NONE,0,0,0,False,-1
30,NONE,0,0,0,False,-1
31,NONE,0,0,0,False,-1
32,SINGLE,1,0,0,False,-1
33,SINGLE,1,0,0,False,-1
34,SINGLE,0,1,0,False,-1
35,SINGLE,0,1,0,False,-1
36,DOUBLE,1,1,0,False,-1
37,NONE,0,0,0,False,-1
38,DOUBLE,1,1,0,False,-1
39,SINGLE,0,0,1,False,-1
40,NONE,0,0,0,False,-1
41,NONE,0,0,0,False,-1
42,NONE,0,0,0,False,-1
43,NONE,0,0,0,False,-1
44,DOUBLE,1,1,0,False,-1
45,NONE,0,0,0,False,-1
46,NONE,0,0,0,False,-1
47,DOUBLE,1,1,0,False,-1
48,NONE,0,0,0,False,-1
49,SINGLE,1,0,0,False,-1
50,NONE,0,0,0,False,-1
51,SINGLE,0,1,0,False,-1
52,NONE,0,0,0,False,-1
53,SINGLE,1,0,0,False,-1
54,NONE,0,0,0,False,-1
55,NONE,0,0,0,False,-1
56,NONE,0,0,0,False,-1
57,NONE,0,0,0,False,-1
58,NONE,0,0,0,False,-1
59,NONE,0,0,0,False,-1
60,DOUBLE,1,1,0,False,-1
61,NONE,0,0,0,False,-1
62,NONE,0,0,0,False,-1
63,NONE,0,0,0,False,-1
64,SINGLE,0,0,1,False,-1
65,NONE,0,0,0,False,-1
66,DOUBLE,1,0,1,False,-1
67,DOUBLE,1,1,0,False,-1
68,SINGLE,1,0,0,False,-1
69,SINGLE,0,0,1,False,-1
70,SINGLE,1,0,0,False,-1
71,DOUBLE,1,0,1,False,-1
72,NONE,0,0,0,False,-1
73,NONE,0,0,0,False,-1
