EventID,Coincidence,HitTop,HitMiddle,HitBottom,Decay,DecayTime_ns
0,NONE,0,0,0,False,-1
1,TRIPLE,1,1,1,False,-1
2,NONE,0,0,0,False,-1
3,DOUBLE,1,1,0,False,-1
4,SINGLE,0,0,1,False,-1
5,NONE,0,0,0,False,-1
6,DOUBLE,1,1,0,False,-1
7,SINGLE,0,0,1,False,-1
8,NONE,0,0,0,False,-1
9,DOUBLE,0,1,1,False,-1
10,NONE,0,0,0,False,-1
11,TRIPLE,1,1,1,False,-1
12,DOUBLE,1,1,0,False,-1
13,DOUBLE,1,1,0,False,-1
14,SINGLE,0,0,1,False,-1
15,TRIPLE,1,1,1,False,-1
16,NONE,0,0,0,False,-1
17,DOUBLE,1,1,0,False,-1
18,NONE,0,0,0,False,-1
19,SINGLE,1,0,0,False,-1
20,NONE,0,0,0,False,-1
21,NONE,0,0,0,False,-1
22,DOUBLE,0,1,1,False,-1
23,DOUBLE,1,1,0,False,-1
24,NONE,0,0,0,False,-1
25,TRIPLE,1,1,1,False,-1
26,NONE,0,0,0,False,-1
27,NONE,0,0,0,False,-1
28,NONE,0,0,0,False,-1
29,DOUBLE,0,1,1,False,-1
30,SINGLE,1,0,0,False,-1
31,DOUBLE,1,1,0,False,-1
32,NONE,0,0,0,False,-1
33,NONE,0,0,0,False,-1
34,NONE,0,0,0,False,-1
35,DOUBLE,1,1,0,False,-1
36,NONE,0,0,0,False,-1
37,DOUBLE,1,1,0,False,-1
38,SINGLE,0,0,1,False,-1
39,TRIPLE,1,1,1,False,-1
40,TRIPLE,1,1,1,False,-1
41,NONE,0,0,0,False,-1
42,NONE,0,0,0,False,-1
43,SINGLE,0,0,1,False,-1
44,NONE,0,0,0,False,-1
45,DOUBLE,1,1,0,False,-1
46,NONE,0,0,0,False,-1
47,SINGLE,0,0,1,False,-1
48,NONE,0,0,0,False,-1
49,NONE,0,0,0,False,-1
50,SINGLE,1,0,0,False,-1
51,DOUBLE,1,1,0,False,-1
52,NONE,0,0,0,False,-1
53,TRIPLE,1,1,1,False,-1
54,DOUBLE,0,1,1,False,-1
55,NONE,0,0,0,False,-1
56,NONE,0,0,0,False,-1
57,SINGLE,1,0,0,False,-1
58,DOUBLE,1,1,0,False,-1
59,DOUBLE,1,1,0,False,-1
60,NONE,0,0,0,False,-1
61,NONE,0,0,0,False,-1
62,NONE,0,0,0,False,-1
63,NONE,0,0,0,False,-1
64,NONE,0,0,0,False,-1
65,NONE,0,0,0,False,-1
66,NONE,0,0,0,False,-1
67,NONE,0,0,0,False,-1
68,SINGLE,0,1,0,False,-1
69,NONE,0,0,0,False,-1
70,NONE,0,0,0,False,-1
71,NONE,0,0,0,False,-1
72,NONE,0,0,0,False,-1
73,DOUBLE,1,1,0,False,-1
74,NONE,0,0,0,False,-1
75,NONE,0,0,0,False,-1
76,NONE,0,0,0,False,-1
77,SINGLE,0,0,1,False,-1
78,NONE,0,0,0,False,-1
79,SINGLE,1,0,0,False,-1
80,NONE,0,0,0,False,-1
81,NONE,0,0,0,False,-1
82,TRIPLE,1,1,1,False,-1
83,NONE,0,0,0,False,-1
84,NONE,0,0,0,False,-1
85,NONE,0,0,0,False,-1
86,NONE,0,0,0,False,-1
87,SINGLE,1,0,0,False,-1
88,NONE,0,0,0,False,-1
89,DOUBLE,1,1,0,False,-1
90,NONE,0,0,0,False,-1
91,NONE,0,0,0,False,-1
92,NONE,0,0,0,False,-1
93,DOUBLE,1,1,0,False,-1
94,DOUBLE,1,1,0,False,-1
95,SINGLE,0,1,0,False,-1
96,NONE,0,0,0,False,-1
97,NONE,0,0,0,False,-1
98,NONE,0,0,0,False,-1
99,DOUBLE,1,1,0,False,-1
100,DOUBLE,1,1,0,False,-1
101,TRIPLE,1,1,1,False,-1
102,DOUBLE,1,1,0,False,-1
103,NONE,0,0,0,False,-1
104,NONE,0,0,0,False,-1
