EventID,Coincidence,PartenopeHit,MinervaHit,GiunoneHit,Decay,DecayTime_ns
0,TRIPLE,1,1,1,False,-1
1,DOUBLE,1,1,0,False,-1
2,TRIPLE,1,1,1,False,-1
3,TRIPLE,1,1,1,False,-1
4,DOUBLE,1,1,0,False,-1
5,DOUBLE,1,1,0,False,-1
6,TRIPLE,1,1,1,False,-1
7,SINGLE,1,0,0,False,-1
8,SINGLE,1,0,0,False,-1
9,TRIPLE,1,1,1,False,-1
10,DOUBLE,1,1,0,False,-1
11,SINGLE,1,0,0,False,-1
12,DOUBLE,1,1,0,False,-1
13,SINGLE,1,0,0,False,-1
14,TRIPLE,1,1,1,False,-1
15,DOUBLE,1,1,0,False,-1
16,SINGLE,1,0,0,False,-1
17,TRIPLE,1,1,1,False,-1
18,TRIPLE,1,1,1,False,-1
19,TRIPLE,1,1,1,False,-1
20,DOUBLE,1,1,0,False,-1
21,TRIPLE,1,1,1,False,-1
22,TRIPLE,1,1,1,False,-1
23,TRIPLE,1,1,1,False,-1
24,TRIPLE,1,1,1,False,-1
25,DOUBLE,1,1,0,False,-1
26,TRIPLE,1,1,1,False,-1
27,TRIPLE,1,1,1,False,-1
28,DOUBLE,1,1,0,False,-1
29,TRIPLE,1,1,1,False,-1
30,TRIPLE,1,1,1,False,-1
31,TRIPLE,1,1,1,False,-1
32,TRIPLE,1,1,1,False,-1
33,TRIPLE,1,1,1,False,-1
34,TRIPLE,1,1,1,False,-1
35,TRIPLE,1,1,1,False,-1
36,SINGLE,1,0,0,False,-1
37,DOUBLE,1,1,0,False,-1
38,TRIPLE,1,1,1,False,-1
39,TRIPLE,1,1,1,False,-1
40,TRIPLE,1,1,1,False,-1
41,TRIPLE,1,1,1,False,-1
42,TRIPLE,1,1,1,False,-1
43,DOUBLE,1,1,0,False,-1
44,DOUBLE,1,1,0,False,-1
45,TRIPLE,1,1,1,False,-1
46,TRIPLE,1,1,1,False,-1
47,TRIPLE,1,1,1,False,-1
48,TRIPLE,1,1,1,False,-1
49,TRIPLE,1,1,1,False,-1
50,TRIPLE,1,1,1,False,-1
51,TRIPLE,1,1,1,False,-1
52,SINGLE,1,0,0,False,-1
53,TRIPLE,1,1,1,False,-1
54,TRIPLE,1,1,1,False,-1
55,TRIPLE,1,1,1,False,-1
56,TRIPLE,1,1,1,False,-1
57,TRIPLE,1,1,1,False,-1
58,SINGLE,1,0,0,False,-1
59,SINGLE,1,0,0,False,-1
60,TRIPLE,1,1,1,False,-1
61,TRIPLE,1,1,1,False,-1
62,SINGLE,1,0,0,False,-1
63,DOUBLE,1,1,0,False,-1
64,TRIPLE,1,1,1,False,-1
65,TRIPLE,1,1,1,False,-1
66,TRIPLE,1,1,1,False,-1
67,SINGLE,1,0,0,False,-1
68,TRIPLE,1,1,1,False,-1
69,SINGLE,1,0,0,False,-1
70,TRIPLE,1,1,1,False,-1
71,TRIPLE,1,1,1,False,-1
72,SINGLE,1,0,0,False,-1
73,TRIPLE,1,1,1,False,-1
74,DOUBLE,1,1,0,False,-1
75,TRIPLE,1,1,1,False,-1
76,TRIPLE,1,1,1,False,-1
77,TRIPLE,1,1,1,False,-1
78,DOUBLE,1,1,0,False,-1
